,id,country,city,cities,location,locations,sourceName,sourceNames,sourceType,sourceTypes,firstUpdated,lastUpdated,parameters,countsByMeasurement,count,coordinates.longitude,coordinates.latitude
13,ES-76,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1275A,"['Sant Celoni (Carles Damm)', 'ES1275A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['no2', 'o3', 'pm10', 'so2']","[{'parameter': 'no2', 'count': 12728}, {'parameter': 'o3', 'count': 11963}, {'parameter': 'pm10', 'count': 7310}, {'parameter': 'so2', 'count': 13135}]",45136,2.49575,41.68905
14,ES-125,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1339A,"['Vilanova i la Geltrú (pl. de les Danses de Vilanova)', 'Vilanova i la Geltr� (pl. de les Danses de Vilanova)', 'ES1339A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['co', 'no2', 'o3', 'so2']","[{'parameter': 'co', 'count': 13818}, {'parameter': 'no2', 'count': 13070}, {'parameter': 'o3', 'count': 11456}, {'parameter': 'so2', 'count': 13224}]",51568,1.72125,41.21904
15,ES-144,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1396A,"['Barcelona (Sants)', 'ES1396A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,['no2'],"[{'parameter': 'no2', 'count': 13060}]",13060,2.1331,41.3788
16,ES-75,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1397A,"['Manlleu (hospital comarcal)', 'ES1397A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['no2', 'o3', 'so2']","[{'parameter': 'no2', 'count': 12848}, {'parameter': 'o3', 'count': 13024}, {'parameter': 'so2', 'count': 12597}]",38469,2.28727,42.00328
17,ES-42,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1438A,"[""Barcelona (l'Eixample)"", 'ES1438A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['co', 'no2', 'o3', 'so2']","[{'parameter': 'co', 'count': 13642}, {'parameter': 'no2', 'count': 13066}, {'parameter': 'o3', 'count': 8304}, {'parameter': 'so2', 'count': 13275}]",48287,2.15382,41.38534
18,ES-48,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1453A,"['Santa Coloma de Gramenet (Balldovina)', 'ES1453A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,['no2'],"[{'parameter': 'no2', 'count': 13109}]",13109,2.20951,41.44735
19,ES-138,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1480A,"['Barcelona (Gràcia - Sant Gervasi)', 'Barcelona (Gr�cia - Sant Gervasi)', 'ES1480A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['co', 'no2', 'o3', 'so2']","[{'parameter': 'co', 'count': 13483}, {'parameter': 'no2', 'count': 12977}, {'parameter': 'o3', 'count': 8312}, {'parameter': 'so2', 'count': 13221}]",47993,2.15339,41.39874
20,ES-89,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1551A,"['Barberà del Vallès (Moragues - Montserrat)', 'Barber� del Vall�s (Moragues - Montserrat)', 'ES1551A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,['no2'],"[{'parameter': 'no2', 'count': 12933}]",12933,2.12538,41.51268
21,ES-3,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1642A,"['Vic (estadi)', 'ES1642A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,['o3'],"[{'parameter': 'o3', 'count': 13052}]",13052,2.23857,41.93567
22,ES-185,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1679A,"['Barcelona (Ciutadella)', 'ES1679A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['no2', 'o3']","[{'parameter': 'no2', 'count': 13212}, {'parameter': 'o3', 'count': 13070}]",26282,2.18742,41.38641
