,location,parameter,value,coordinates.longitude,coordinates.latitude
0,ES0692A,pm10,35,2.11497,41.3705
1,ES0694A,pm10,15,2.0098,41.39216
2,ES1148A,pm10,16,2.22224,41.42562
3,ES1275A,pm10,27,2.49575,41.68905
4,ES1684A,pm10,17,2.0425,41.49208
5,ES1817A,pm10,17,2.1838,41.52671
6,ES1891A,pm10,20,2.28712,41.59867
