,location,parameter,value,country,city,latitude,longitude,date,spot
39,ES0584A,o3,77,ES,Barcelona,41.482016278467,2.188296656,2020_03_02-16:00:00,Montcada i Reixac (pl. de Lluís Companys)
40,ES0584A,o3,75,ES,Barcelona,41.482016278467,2.188296656,2020_03_02-17:00:00,Montcada i Reixac (pl. de Lluís Companys)
41,ES0584A,o3,70,ES,Barcelona,41.482016278467,2.188296656,2020_03_02-18:00:00,Montcada i Reixac (pl. de Lluís Companys)
42,ES0584A,o3,63,ES,Barcelona,41.482016278467,2.188296656,2020_03_02-19:00:00,Montcada i Reixac (pl. de Lluís Companys)
43,ES0584A,o3,63,ES,Barcelona,41.482016278467,2.188296656,2020_03_02-20:00:00,Montcada i Reixac (pl. de Lluís Companys)
44,ES0584A,o3,55,ES,Barcelona,41.482016278467,2.188296656,2020_03_02-21:00:00,Montcada i Reixac (pl. de Lluís Companys)
45,ES0584A,o3,58,ES,Barcelona,41.482016278467,2.188296656,2020_03_02-22:00:00,Montcada i Reixac (pl. de Lluís Companys)
46,ES0584A,o3,64,ES,Barcelona,41.482016278467,2.188296656,2020_03_02-23:00:00,Montcada i Reixac (pl. de Lluís Companys)
47,ES0584A,o3,66,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-00:00:00,Montcada i Reixac (pl. de Lluís Companys)
48,ES0584A,o3,65,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-01:00:00,Montcada i Reixac (pl. de Lluís Companys)
49,ES0584A,o3,64,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-02:00:00,Montcada i Reixac (pl. de Lluís Companys)
50,ES0584A,o3,66,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-03:00:00,Montcada i Reixac (pl. de Lluís Companys)
51,ES0584A,o3,64,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-04:00:00,Montcada i Reixac (pl. de Lluís Companys)
52,ES0584A,o3,62,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-05:00:00,Montcada i Reixac (pl. de Lluís Companys)
53,ES0584A,o3,54,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-06:00:00,Montcada i Reixac (pl. de Lluís Companys)
54,ES0584A,o3,36,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-07:00:00,Montcada i Reixac (pl. de Lluís Companys)
55,ES0584A,o3,21,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-08:00:00,Montcada i Reixac (pl. de Lluís Companys)
56,ES0584A,o3,26,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-09:00:00,Montcada i Reixac (pl. de Lluís Companys)
57,ES0584A,o3,33,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-10:00:00,Montcada i Reixac (pl. de Lluís Companys)
58,ES0584A,o3,45,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-11:00:00,Montcada i Reixac (pl. de Lluís Companys)
59,ES0584A,o3,58,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-12:00:00,Montcada i Reixac (pl. de Lluís Companys)
60,ES0584A,o3,67,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-13:00:00,Montcada i Reixac (pl. de Lluís Companys)
61,ES0584A,o3,65,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-14:00:00,Montcada i Reixac (pl. de Lluís Companys)
62,ES0584A,o3,62,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-15:00:00,Montcada i Reixac (pl. de Lluís Companys)
63,ES0584A,o3,61,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-16:00:00,Montcada i Reixac (pl. de Lluís Companys)
64,ES0584A,o3,58,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-17:00:00,Montcada i Reixac (pl. de Lluís Companys)
65,ES0584A,o3,57,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-18:00:00,Montcada i Reixac (pl. de Lluís Companys)
66,ES0584A,o3,45,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-19:00:00,Montcada i Reixac (pl. de Lluís Companys)
67,ES0584A,o3,35,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-20:00:00,Montcada i Reixac (pl. de Lluís Companys)
68,ES0584A,o3,33,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-21:00:00,Montcada i Reixac (pl. de Lluís Companys)
69,ES0584A,o3,38,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-22:00:00,Montcada i Reixac (pl. de Lluís Companys)
70,ES0584A,o3,6,ES,Barcelona,41.482016278467,2.188296656,2020_03_03-23:00:00,Montcada i Reixac (pl. de Lluís Companys)
71,ES0584A,o3,11,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-00:00:00,Montcada i Reixac (pl. de Lluís Companys)
72,ES0584A,o3,32,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-01:00:00,Montcada i Reixac (pl. de Lluís Companys)
73,ES0584A,o3,33,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-02:00:00,Montcada i Reixac (pl. de Lluís Companys)
74,ES0584A,o3,29,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-03:00:00,Montcada i Reixac (pl. de Lluís Companys)
75,ES0584A,o3,20,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-04:00:00,Montcada i Reixac (pl. de Lluís Companys)
76,ES0584A,o3,9,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-05:00:00,Montcada i Reixac (pl. de Lluís Companys)
77,ES0584A,o3,3,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-06:00:00,Montcada i Reixac (pl. de Lluís Companys)
78,ES0584A,o3,1,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-07:00:00,Montcada i Reixac (pl. de Lluís Companys)
79,ES0584A,o3,1,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-08:00:00,Montcada i Reixac (pl. de Lluís Companys)
80,ES0584A,o3,2,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-09:00:00,Montcada i Reixac (pl. de Lluís Companys)
81,ES0584A,o3,3,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-10:00:00,Montcada i Reixac (pl. de Lluís Companys)
82,ES0584A,o3,12,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-11:00:00,Montcada i Reixac (pl. de Lluís Companys)
83,ES0584A,o3,30,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-12:00:00,Montcada i Reixac (pl. de Lluís Companys)
84,ES0584A,o3,34,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-13:00:00,Montcada i Reixac (pl. de Lluís Companys)
85,ES0584A,o3,35,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-14:00:00,Montcada i Reixac (pl. de Lluís Companys)
86,ES0584A,o3,54,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-15:00:00,Montcada i Reixac (pl. de Lluís Companys)
87,ES0584A,o3,59,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-16:00:00,Montcada i Reixac (pl. de Lluís Companys)
88,ES0584A,o3,59,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-17:00:00,Montcada i Reixac (pl. de Lluís Companys)
89,ES0584A,o3,51,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-18:00:00,Montcada i Reixac (pl. de Lluís Companys)
90,ES0584A,o3,26,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-19:00:00,Montcada i Reixac (pl. de Lluís Companys)
91,ES0584A,o3,10,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-20:00:00,Montcada i Reixac (pl. de Lluís Companys)
92,ES0584A,o3,9,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-21:00:00,Montcada i Reixac (pl. de Lluís Companys)
93,ES0584A,o3,5,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-22:00:00,Montcada i Reixac (pl. de Lluís Companys)
94,ES0584A,o3,3,ES,Barcelona,41.482016278467,2.188296656,2020_03_04-23:00:00,Montcada i Reixac (pl. de Lluís Companys)
95,ES0584A,o3,1,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-01:00:00,Montcada i Reixac (pl. de Lluís Companys)
96,ES0584A,o3,1,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-02:00:00,Montcada i Reixac (pl. de Lluís Companys)
97,ES0584A,o3,1,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-03:00:00,Montcada i Reixac (pl. de Lluís Companys)
98,ES0584A,o3,1,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-04:00:00,Montcada i Reixac (pl. de Lluís Companys)
99,ES0584A,o3,1,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-05:00:00,Montcada i Reixac (pl. de Lluís Companys)
100,ES0584A,o3,1,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-06:00:00,Montcada i Reixac (pl. de Lluís Companys)
101,ES0584A,o3,1,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-08:00:00,Montcada i Reixac (pl. de Lluís Companys)
102,ES0584A,o3,2,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-09:00:00,Montcada i Reixac (pl. de Lluís Companys)
103,ES0584A,o3,8,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-10:00:00,Montcada i Reixac (pl. de Lluís Companys)
104,ES0584A,o3,30,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-11:00:00,Montcada i Reixac (pl. de Lluís Companys)
105,ES0584A,o3,35,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-12:00:00,Montcada i Reixac (pl. de Lluís Companys)
106,ES0584A,o3,45,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-13:00:00,Montcada i Reixac (pl. de Lluís Companys)
107,ES0584A,o3,48,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-14:00:00,Montcada i Reixac (pl. de Lluís Companys)
108,ES0584A,o3,52,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-15:00:00,Montcada i Reixac (pl. de Lluís Companys)
109,ES0584A,o3,49,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-16:00:00,Montcada i Reixac (pl. de Lluís Companys)
110,ES0584A,o3,57,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-17:00:00,Montcada i Reixac (pl. de Lluís Companys)
111,ES0584A,o3,61,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-18:00:00,Montcada i Reixac (pl. de Lluís Companys)
112,ES0584A,o3,73,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-19:00:00,Montcada i Reixac (pl. de Lluís Companys)
113,ES0584A,o3,67,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-20:00:00,Montcada i Reixac (pl. de Lluís Companys)
114,ES0584A,o3,62,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-21:00:00,Montcada i Reixac (pl. de Lluís Companys)
115,ES0584A,o3,59,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-22:00:00,Montcada i Reixac (pl. de Lluís Companys)
116,ES0584A,o3,59,ES,Barcelona,41.482016278467,2.188296656,2020_03_05-23:00:00,Montcada i Reixac (pl. de Lluís Companys)
117,ES0584A,o3,64,ES,Barcelona,41.482016278467,2.188296656,2020_03_06-00:00:00,Montcada i Reixac (pl. de Lluís Companys)
118,ES0584A,o3,61,ES,Barcelona,41.482016278467,2.188296656,2020_03_06-01:00:00,Montcada i Reixac (pl. de Lluís Companys)
119,ES0584A,o3,51,ES,Barcelona,41.482016278467,2.188296656,2020_03_06-02:00:00,Montcada i Reixac (pl. de Lluís Companys)
120,ES0584A,o3,52,ES,Barcelona,41.482016278467,2.188296656,2020_03_06-03:00:00,Montcada i Reixac (pl. de Lluís Companys)
121,ES0584A,o3,38,ES,Barcelona,41.482016278467,2.188296656,2020_03_06-04:00:00,Montcada i Reixac (pl. de Lluís Companys)
122,ES0584A,o3,31,ES,Barcelona,41.482016278467,2.188296656,2020_03_06-05:00:00,Montcada i Reixac (pl. de Lluís Companys)
123,ES0584A,o3,24,ES,Barcelona,41.482016278467,2.188296656,2020_03_06-06:00:00,Montcada i Reixac (pl. de Lluís Companys)
124,ES0584A,o3,13,ES,Barcelona,41.482016278467,2.188296656,2020_03_06-07:00:00,Montcada i Reixac (pl. de Lluís Companys)
125,ES0584A,o3,2,ES,Barcelona,41.482016278467,2.188296656,2020_03_06-08:00:00,Montcada i Reixac (pl. de Lluís Companys)
126,ES0584A,o3,14,ES,Barcelona,41.482016278467,2.188296656,2020_03_06-09:00:00,Montcada i Reixac (pl. de Lluís Companys)
127,ES0584A,o3,45,ES,Barcelona,41.482016278467,2.188296656,2020_03_06-10:00:00,Montcada i Reixac (pl. de Lluís Companys)
128,ES0584A,o3,51,ES,Barcelona,41.482016278467,2.188296656,2020_03_06-11:00:00,Montcada i Reixac (pl. de Lluís Companys)
129,ES0584A,o3,64,ES,Barcelona,41.482016278467,2.188296656,2020_03_06-12:00:00,Montcada i Reixac (pl. de Lluís Companys)
130,ES0584A,o3,67,ES,Barcelona,41.482016278467,2.188296656,2020_03_06-13:00:00,Montcada i Reixac (pl. de Lluís Companys)
131,ES0584A,o3,69,ES,Barcelona,41.482016278467,2.188296656,2020_03_06-14:00:00,Montcada i Reixac (pl. de Lluís Companys)
