CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08019004_10_20200125,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,25,25/01/2020,73,V,72,V,72,V,71,V,65,V,63,V,62,V,60,V,63,V,73,V,77,V,77,V,78,V,88,V,90,V,105,V,109,V,101,V,105,V,88,V,80,V,70,V,66,V,69,V,"(41.40388, 2.204501)"
08019004_10_20200126,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,26,26/01/2020,69,V,68,V,62,V,52,V,55,V,52,V,43,V,40,V,42,V,40,V,43,V,45,V,33,V,30,V,43,V,48,V,50,V,45,V,38,V,28,V,34,V,33,V,34,V,26,V,"(41.40388, 2.204501)"
08019004_10_20200127,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,27,27/01/2020,26,V,17,V,20,V,19,V,21,V,19,V,19,V,17,V,15,V,24,V,61,V,57,V,56,V,90,V,37,V,38,V,33,V,32,V,23,V,21,V,21,V,24,V,29,V,22,V,"(41.40388, 2.204501)"
08019004_10_20200128,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,28,28/01/2020,19,V,13,V,12,V,10,V,12,V,11,V,13,V,21,V,25,V,25,V,28,V,,N,,N,,N,,N,,N,13,V,15,V,12,V,17,V,22,V,20,V,20,V,18,V,"(41.40388, 2.204501)"
08019004_10_20200129,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,29,29/01/2020,20,V,19,V,21,V,20,V,19,V,19,V,21,V,29,V,37,V,48,V,32,V,34,V,33,V,19,V,18,V,18,V,20,V,21,V,21,V,20,V,26,V,33,V,41,V,32,V,"(41.40388, 2.204501)"
08019004_10_20200130,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,30,30/01/2020,30,V,32,V,30,V,26,V,24,V,25,V,29,V,40,V,41,V,48,V,44,V,37,V,21,V,13,V,13,V,17,V,12,V,21,V,21,V,23,V,29,V,28,V,29,V,27,V,"(41.40388, 2.204501)"
08019004_10_20200131,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,31,31/01/2020,33,V,26,V,24,V,22,V,23,V,23,V,24,V,27,V,43,V,49,V,46,V,47,V,54,V,31,V,24,V,24,V,30,V,40,V,36,V,43,V,39,V,47,V,57,V,46,V,"(41.40388, 2.204501)"
08019004_10_20200114,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,14,14/01/2020,36,V,35,V,25,V,23,V,21,V,20,V,29,V,35,V,46,V,,N,,N,,N,,N,,N,26,V,26,V,29,V,28,V,36,V,31,V,30,V,37,V,38,V,41,V,"(41.40388, 2.204501)"
08019004_10_20200111,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,11,11/01/2020,16,V,17,V,14,V,16,V,11,V,7,V,7,V,9,V,12,V,14,V,13,V,15,V,15,V,11,V,8,V,11,V,9,V,9,V,18,V,26,V,21,V,15,V,14,V,20,V,"(41.40388, 2.204501)"
08019004_10_20200108,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,8,08/01/2020,15,V,15,V,17,V,20,V,25,V,26,V,30,V,34,V,42,V,54,V,47,V,77,V,61,V,44,V,18,V,13,V,17,V,26,V,23,V,26,V,37,V,35,V,35,V,37,V,"(41.40388, 2.204501)"
