CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
17125001_14_20200125,17125001,17,125,1,Pardines,Pardines,42.31196,2.2130551,1226,background,rural,14,O3,µg/m3,17125001_14_6,2020,1,25,25/01/2020,44,V,55,V,58,V,63,V,63,V,63,V,66,V,63,V,58,V,49,V,61,V,60,V,66,V,64,V,68,V,65,V,62,V,55,V,39,V,39,V,36,V,32,V,33,V,39,V,"(42.31196, 2.2130551)"
08194008_8_20200125,8194008,8,194,8,Sant Adrià de Besòs,Sant Adrià de Besòs,41.425594,2.2221997,7,industrial,urban,8,NO2,µg/m3,08194008_8_8,2020,1,25,25/01/2020,55,V,50,V,45,V,43,V,43,V,42,V,36,V,35,V,38,V,42,V,45,V,52,V,53,V,49,V,13,V,11,V,9,V,11,V,18,V,39,V,36,V,48,V,66,V,60,V,"(41.425594, 2.2221997)"
08298008_14_20200125,8298008,8,298,8,Vic,Vic,41.93501,2.2400014,498,background,suburban,14,O3,µg/m3,08298008_14_6,2020,1,25,25/01/2020,5,V,2,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,2,V,4,V,3,V,11,V,8,V,9,V,7,V,3,V,1,V,2,V,1,V,1,V,1,V,2,V,"(41.93501, 2.2400014)"
08112003_14_20200125,8112003,8,112,3,Manlleu,Manlleu,42.003307,2.2872992,460,background,suburban,14,O3,µg/m3,08112003_14_6,2020,1,25,25/01/2020,2,V,2,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,2,V,3,V,5,V,5,V,5,V,6,V,8,V,8,V,2,V,1,V,2,V,2,V,2,V,2,V,2,V,"(42.003307, 2.2872992)"
25120001_10_20200125,25120001,25,120,1,Lleida,Lleida,41.615818,0.6157005,220,traffic,urban,10,PM10,µg/m3,25120001_10_47,2020,1,25,25/01/2020,98,V,94,V,81,V,57,V,41,V,34,V,32,V,32,V,36,V,41,V,47,V,48,V,50,V,67,V,75,V,72,V,67,V,62,V,58,V,57,V,51,V,52,V,52,V,51,V,"(41.615818, 0.6157005)"
08202001_14_20200125,8202001,8,202,1,Sant Celoni,Sant Celoni,41.6891,2.495701,145,background,suburban,14,O3,µg/m3,08202001_14_6,2020,1,25,25/01/2020,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,2,V,2,V,2,V,3,V,11,V,32,V,57,V,57,V,59,V,48,V,14,V,3,V,1,V,2,V,2,V,2,V,"(41.6891, 2.495701)"
08074005_8_20200125,8074005,8,74,5,Cubelles (Poliesportiu),Cubelles,41.202198,1.6722002,5,industrial,suburban,8,NO2,µg/m3,08074005_8_8,2020,1,25,25/01/2020,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,"(41.202198, 1.6722002)"
08211004_8_20200125,8211004,8,211,4,Sant Feliu de Ll. (CEIP Marti i Pol),Sant Feliu de Llobregat,41.386574,2.0573997,81,industrial,suburban,8,NO2,µg/m3,08211004_8_8,2020,1,25,25/01/2020,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,"(41.386574, 2.0573997)"
08113007_10_20200125,8113007,8,113,7,Manresa,Manresa,41.730293,1.8253003,238,traffic,urban,10,PM10,µg/m3,08113007_10_47,2020,1,25,25/01/2020,40,V,38,V,36,V,34,V,31,V,29,V,29,V,28,V,29,V,31,V,34,V,39,V,38,V,37,V,36,V,32,V,36,V,42,V,48,V,47,V,51,V,50,V,45,V,37,V,"(41.730293, 1.8253003)"
08096014_14_20200125,8096014,8,96,14,Granollers,Granollers,41.598682,2.2870984,133,traffic,urban,14,O3,µg/m3,08096014_14_6,2020,1,25,25/01/2020,2,V,2,V,2,V,1,V,1,V,1,V,2,V,2,V,3,V,2,V,6,V,8,V,28,V,36,V,52,V,54,V,51,V,40,V,35,V,18,V,5,V,4,V,4,V,3,V,"(41.598682, 2.2870984)"
08187012_10_20200125,8187012,8,187,12,Sabadell,Sabadell,41.561214,2.1011107,210,traffic,urban,10,PM10,µg/m3,08187012_10_47,2020,1,25,25/01/2020,60,V,57,V,54,V,56,V,52,V,47,V,46,V,48,V,54,V,68,V,72,V,73,V,76,V,80,V,82,V,82,V,84,V,89,V,96,V,84,V,79,V,70,V,66,V,56,V,"(41.561214, 2.1011107)"
08015021_8_20200125,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,8,NO2,µg/m3,08015021_8_8,2020,1,25,25/01/2020,47,V,47,V,45,V,42,V,41,V,38,V,37,V,32,V,36,V,43,V,49,V,54,V,57,V,41,V,21,V,16,V,16,V,20,V,39,V,58,V,55,V,58,V,56,V,53,V,"(41.443985, 2.2378986)"
08019050_8_20200125,8019050,8,19,50,Barcelona (Ciutadella),Barcelona,41.386406,2.1873982,7,background,urban,8,NO2,µg/m3,08019050_8_8,2020,1,25,25/01/2020,54,V,59,V,49,V,41,V,39,V,42,V,41,V,40,V,42,V,46,V,47,V,45,V,48,V,39,V,24,V,11,V,10,V,16,V,19,V,22,V,26,V,15,V,54,V,63,V,"(41.386406, 2.1873982)"
08221004_10_20200125,8221004,8,221,4,Sant Just Desvern (CEIP Montseny),Sant Just Desvern,41.381874,2.0662978,85,industrial,suburban,10,PM10,µg/m3,08221004_10_47,2020,1,25,25/01/2020,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,"(41.381874, 2.0662978)"
08298008_10_20200125,8298008,8,298,8,Vic,Vic,41.93501,2.2400014,498,background,suburban,10,PM10,µg/m3,08298008_10_47,2020,1,25,25/01/2020,39,V,35,V,38,V,37,V,34,V,27,V,22,V,24,V,31,V,29,V,36,V,49,V,47,V,40,V,48,V,52,V,50,V,50,V,43,V,37,V,28,V,33,V,38,V,25,V,"(41.93501, 2.2400014)"
08125002_10_20200125,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,1,25,25/01/2020,55,V,55,V,55,V,50,V,48,V,48,V,46,V,47,V,47,V,50,V,54,V,57,V,59,V,72,V,80,V,76,V,73,V,74,V,69,V,65,V,66,V,75,V,71,V,57,V,"(41.48197, 2.1882975)"
25120001_14_20200125,25120001,25,120,1,Lleida,Lleida,41.615818,0.6157005,220,traffic,urban,14,O3,µg/m3,25120001_14_6,2020,1,25,25/01/2020,1,V,1,V,4,V,6,V,10,V,8,V,7,V,5,V,6,V,8,V,11,V,15,V,25,V,43,V,55,V,59,V,58,V,44,V,25,V,21,V,17,V,16,V,22,V,24,V,"(41.615818, 0.6157005)"
08169009_8_20200125,8169009,8,169,9,El Prat de Llobregat (Sagnier),"Prat de Llobregat, el",41.321774,2.0821,7,background,suburban,8,NO2,µg/m3,08169009_8_8,2020,1,25,25/01/2020,51,V,47,V,43,V,43,V,39,V,37,V,36,V,36,V,37,V,37,V,36,V,40,V,42,V,42,V,48,V,32,V,26,V,29,V,35,V,60,V,59,V,55,V,53,V,48,V,"(41.321774, 2.0821)"
08112003_8_20200125,8112003,8,112,3,Manlleu,Manlleu,42.003307,2.2872992,460,background,suburban,8,NO2,µg/m3,08112003_8_8,2020,1,25,25/01/2020,24,V,24,V,27,V,19,V,19,V,20,V,19,V,21,V,18,V,18,V,20,V,40,V,25,V,25,V,30,V,29,V,31,V,41,V,44,V,42,V,35,V,35,V,29,V,21,V,"(42.003307, 2.2872992)"
43014001_14_20200125,43014001,43,14,1,Amposta,Amposta,40.706703,0.5817011,8,background,suburban,14,O3,µg/m3,43014001_14_6,2020,1,25,25/01/2020,10,V,11,V,9,V,8,V,6,V,7,V,4,V,3,V,2,V,3,V,7,V,12,V,34,V,45,V,54,V,60,V,60,V,57,V,49,V,33,V,8,V,3,V,3,V,8,V,"(40.706703, 0.5817011)"
08307012_8_20200125,8307012,8,307,12,Vilanova i la Geltrú,Vilanova i la Geltrú,41.218987,1.7211995,12,traffic,urban,8,NO2,µg/m3,08307012_8_8,2020,1,25,25/01/2020,39,V,30,V,27,V,29,V,29,V,29,V,29,V,30,V,33,V,39,V,36,V,36,V,27,V,25,V,27,V,28,V,32,V,36,V,48,V,50,V,45,V,37,V,35,V,38,V,"(41.218987, 1.7211995)"
43148003_8_20200125,43148003,43,148,3,Tarragona (Bonavista),Tarragona,41.11591,1.1919986,39,industrial,suburban,8,NO2,µg/m3,43148003_8_8,2020,1,25,25/01/2020,34,V,27,V,29,V,23,V,19,V,19,V,29,V,31,V,41,V,50,V,45,V,38,V,36,V,35,V,23,V,16,V,17,V,23,V,56,V,72,V,67,V,65,V,45,V,29,V,"(41.11591, 1.1919986)"
08283004_8_20200125,8283004,8,283,4,Tona (Zona Esportiva),Tona,41.84666,2.2175014,620,background,rural,8,NO2,µg/m3,08283004_8_8,2020,1,25,25/01/2020,19,V,11,V,32,V,25,V,16,V,11,V,15,V,22,V,17,V,20,V,23,V,24,V,29,V,21,V,23,V,26,V,22,V,19,V,10,V,6,V,8,V,8,V,9,V,13,V,"(41.84666, 2.2175014)"
25120001_8_20200125,25120001,25,120,1,Lleida,Lleida,41.615818,0.6157005,220,traffic,urban,8,NO2,µg/m3,25120001_8_8,2020,1,25,25/01/2020,36,V,33,V,28,V,22,V,19,V,19,V,21,V,27,V,31,V,33,V,31,V,27,V,22,V,23,V,18,V,16,V,18,V,26,V,42,V,43,V,39,V,37,V,29,V,27,V,"(41.615818, 0.6157005)"
08194008_14_20200125,8194008,8,194,8,Sant Adrià de Besòs,Sant Adrià de Besòs,41.425594,2.2221997,7,industrial,urban,14,O3,µg/m3,08194008_14_6,2020,1,25,25/01/2020,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,4,V,4,V,5,V,10,V,54,V,57,V,64,V,58,V,45,V,24,V,30,V,18,V,2,V,2,V,"(41.425594, 2.2221997)"
43171001_8_20200125,43171001,43,171,1,Vila-seca,Vila-seca,41.111958,1.1519431,41,background,suburban,8,NO2,µg/m3,43171001_8_8,2020,1,25,25/01/2020,28,V,23,V,27,V,24,V,19,V,15,V,22,V,29,V,34,V,37,V,32,V,29,V,22,V,21,V,17,V,13,V,13,V,29,V,47,V,62,V,58,V,56,V,51,V,39,V,"(41.111958, 1.1519431)"
