CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08022006_14_20200128,8022006,8,22,6,Berga,Berga,42.0979,1.8482014,661,background,suburban,14,O3,µg/m3,08022006_14_6,2020,1,28,28/01/2020,18,V,19,V,20,V,20,V,20,V,19,V,15,V,12,V,8,V,11,V,18,V,,N,,N,33,V,36,V,38,V,37,V,30,V,26,V,26,V,25,V,27,V,30,V,28,V,"(42.0979, 1.8482014)"
08022006_14_20200127,8022006,8,22,6,Berga,Berga,42.0979,1.8482014,661,background,suburban,14,O3,µg/m3,08022006_14_6,2020,1,27,27/01/2020,28,V,27,V,24,V,22,V,24,V,25,V,33,V,29,V,29,V,31,V,29,V,35,V,35,V,36,V,36,V,41,V,44,V,38,V,26,V,15,V,6,V,19,V,24,V,23,V,"(42.0979, 1.8482014)"
08022006_14_20200115,8022006,8,22,6,Berga,Berga,42.0979,1.8482014,661,background,suburban,14,O3,µg/m3,08022006_14_6,2020,1,15,15/01/2020,33,V,34,V,37,V,38,V,36,V,37,V,33,V,29,V,23,V,27,V,29,V,34,V,40,V,47,V,45,V,42,V,36,V,14,V,15,V,22,V,25,V,26,V,26,V,31,V,"(42.0979, 1.8482014)"
08022006_14_20200114,8022006,8,22,6,Berga,Berga,42.0979,1.8482014,661,background,suburban,14,O3,µg/m3,08022006_14_6,2020,1,14,14/01/2020,25,V,26,V,28,V,29,V,32,V,31,V,29,V,27,V,20,V,24,V,22,V,44,V,42,V,45,V,44,V,47,V,33,V,10,V,14,V,19,V,19,V,26,V,29,V,32,V,"(42.0979, 1.8482014)"
08022006_14_20200113,8022006,8,22,6,Berga,Berga,42.0979,1.8482014,661,background,suburban,14,O3,µg/m3,08022006_14_6,2020,1,13,13/01/2020,42,V,43,V,45,V,45,V,47,V,46,V,45,V,41,V,32,V,36,V,34,V,38,V,39,V,39,V,43,V,44,V,34,V,19,V,8,V,9,V,20,V,21,V,24,V,24,V,"(42.0979, 1.8482014)"
08022006_14_20200112,8022006,8,22,6,Berga,Berga,42.0979,1.8482014,661,background,suburban,14,O3,µg/m3,08022006_14_6,2020,1,12,12/01/2020,33,V,35,V,37,V,41,V,42,V,47,V,48,V,49,V,48,V,51,V,41,V,41,V,44,V,62,V,68,V,64,V,60,V,31,V,41,V,35,V,32,V,34,V,36,V,38,V,"(42.0979, 1.8482014)"
08022006_14_20200111,8022006,8,22,6,Berga,Berga,42.0979,1.8482014,661,background,suburban,14,O3,µg/m3,08022006_14_6,2020,1,11,11/01/2020,31,V,31,V,28,V,25,V,24,V,23,V,27,V,23,V,23,V,22,V,18,V,19,V,20,V,24,V,23,V,28,V,30,V,17,V,14,V,13,V,14,V,18,V,22,V,28,V,"(42.0979, 1.8482014)"
08022006_14_20200110,8022006,8,22,6,Berga,Berga,42.0979,1.8482014,661,background,suburban,14,O3,µg/m3,08022006_14_6,2020,1,10,10/01/2020,27,V,30,V,40,V,36,V,37,V,48,V,45,V,48,V,26,V,13,V,18,V,49,V,62,V,60,V,57,V,54,V,39,V,34,V,25,V,11,V,12,V,30,V,32,V,33,V,"(42.0979, 1.8482014)"
08022006_14_20200116,8022006,8,22,6,Berga,Berga,42.0979,1.8482014,661,background,suburban,14,O3,µg/m3,08022006_14_6,2020,1,16,16/01/2020,36,V,35,V,40,V,44,V,46,V,46,V,43,V,28,V,24,V,37,V,26,V,36,V,49,V,49,V,47,V,43,V,36,V,30,V,25,V,21,V,28,V,31,V,33,V,32,V,"(42.0979, 1.8482014)"
08022006_14_20200109,8022006,8,22,6,Berga,Berga,42.0979,1.8482014,661,background,suburban,14,O3,µg/m3,08022006_14_6,2020,1,9,09/01/2020,41,V,39,V,40,V,41,V,39,V,37,V,34,V,31,V,20,V,28,V,25,V,34,V,41,V,41,V,40,V,38,V,41,V,22,V,22,V,21,V,7,V,16,V,17,V,24,V,"(42.0979, 1.8482014)"
