CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08101001_10_20200214,8101001,8,101,1,L'Hospitalet de Llobregat,"Hospitalet de Llobregat, l'",41.370476,2.1149993,29,background,urban,10,PM10,µg/m3,08101001_10_47,2020,2,14,14/02/2020,30,V,24,V,16,V,14,V,20,V,26,V,27,V,26,V,29,V,31,V,37,V,40,V,29,V,34,V,39,V,40,V,41,V,41,V,43,V,44,V,43,V,40,V,38,V,43,V,"(41.370476, 2.1149993)"
08101001_10_20200213,8101001,8,101,1,L'Hospitalet de Llobregat,"Hospitalet de Llobregat, l'",41.370476,2.1149993,29,background,urban,10,PM10,µg/m3,08101001_10_47,2020,2,13,13/02/2020,23,V,26,V,25,V,23,V,15,V,11,V,11,V,19,V,30,V,35,V,27,V,32,V,33,V,33,V,32,V,30,V,28,V,31,V,33,V,32,V,31,V,32,V,29,V,31,V,"(41.370476, 2.1149993)"
08101001_10_20200212,8101001,8,101,1,L'Hospitalet de Llobregat,"Hospitalet de Llobregat, l'",41.370476,2.1149993,29,background,urban,10,PM10,µg/m3,08101001_10_47,2020,2,12,12/02/2020,21,V,23,V,18,V,21,V,23,V,21,V,21,V,21,V,20,V,16,V,18,V,20,V,18,V,16,V,17,V,18,V,18,V,16,V,16,V,17,V,17,V,17,V,17,V,19,V,"(41.370476, 2.1149993)"
08101001_10_20200211,8101001,8,101,1,L'Hospitalet de Llobregat,"Hospitalet de Llobregat, l'",41.370476,2.1149993,29,background,urban,10,PM10,µg/m3,08101001_10_47,2020,2,11,11/02/2020,29,V,30,V,26,V,17,V,17,V,14,V,12,V,20,V,34,V,28,V,21,V,30,V,30,V,29,V,24,V,23,V,23,V,22,V,25,V,25,V,25,V,21,V,21,V,21,V,"(41.370476, 2.1149993)"
08125002_10_20200225,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,25,25/02/2020,23,V,30,V,28,V,26,V,28,V,32,V,38,V,48,V,63,V,81,V,69,V,71,V,55,V,39,V,31,V,29,V,31,V,34,V,33,V,29,V,26,V,25,V,26,V,31,V,"(41.48197, 2.1882975)"
08125002_10_20200211,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,11,11/02/2020,24,V,25,V,24,V,24,V,21,V,21,V,24,V,34,V,41,V,60,V,73,V,58,V,39,V,28,V,22,V,21,V,20,V,29,V,26,V,26,V,23,V,22,V,25,V,24,V,"(41.48197, 2.1882975)"
08125002_10_20200212,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,12,12/02/2020,22,V,23,V,21,V,20,V,18,V,24,V,27,V,29,V,,N,,N,,N,9,V,7,V,8,V,9,V,10,V,10,V,13,V,14,V,14,V,12,V,11,V,8,V,9,V,"(41.48197, 2.1882975)"
08125002_10_20200213,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,13,13/02/2020,9,V,8,V,10,V,13,V,11,V,11,V,13,V,16,V,24,V,21,V,13,V,16,V,13,V,12,V,12,V,25,V,22,V,21,V,20,V,22,V,34,V,27,V,20,V,21,V,"(41.48197, 2.1882975)"
08125002_10_20200214,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,14,14/02/2020,21,V,21,V,22,V,22,V,19,V,20,V,23,V,33,V,44,V,50,V,51,V,57,V,67,V,53,V,36,V,37,V,37,V,40,V,38,V,37,V,37,V,41,V,38,V,32,V,"(41.48197, 2.1882975)"
08125002_10_20200215,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,15,15/02/2020,27,V,25,V,28,V,28,V,27,V,22,V,18,V,16,V,23,V,23,V,16,V,16,V,18,V,29,V,32,V,30,V,26,V,25,V,24,V,24,V,26,V,27,V,26,V,24,V,"(41.48197, 2.1882975)"
