CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08019054_10_20200213,8019054,8,19,54,Barcelona (Parc Vall Hebron),Barcelona,41.42611,2.1480017,136,background,urban,10,PM10,µg/m3,08019054_10_47,2020,2,13,13/02/2020,9,V,15,V,18,V,28,V,8,V,5,V,4,V,8,V,15,V,13,V,16,V,11,V,13,V,13,V,19,V,24,V,25,V,27,V,30,V,33,V,25,V,26,V,29,V,23,V,"(41.42611, 2.1480017)"
08279011_8_20200213,8279011,8,279,11,Terrassa,Terrassa,41.556114,2.0073977,109,traffic,urban,8,NO2,µg/m3,08279011_8_8,2020,2,13,13/02/2020,16,V,15,V,12,V,11,V,14,V,21,V,38,V,45,V,49,V,46,V,25,V,19,V,21,V,21,V,19,V,23,V,21,V,34,V,45,V,50,V,64,V,64,V,54,V,44,V,"(41.556114, 2.0073977)"
08096014_10_20200213,8096014,8,96,14,Granollers,Granollers,41.598682,2.2870984,133,traffic,urban,10,PM10,µg/m3,08096014_10_47,2020,2,13,13/02/2020,22,V,17,V,17,V,15,V,15,V,19,V,15,V,21,V,28,V,41,V,35,V,24,V,17,V,16,V,18,V,18,V,18,V,16,V,26,V,22,V,27,V,40,V,41,V,39,V,"(41.598682, 2.2870984)"
08019043_10_20200213,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,2,13,13/02/2020,28,V,27,V,23,V,24,V,16,V,12,V,10,V,19,V,36,V,40,V,25,V,31,V,33,V,34,V,30,V,28,V,31,V,31,V,32,V,32,V,31,V,33,V,31,V,29,V,"(41.385315, 2.1537998)"
43004005_8_20200213,43004005,43,4,5,Alcanar,Alcanar,40.552807,0.53000027,7,industrial,rural,8,NO2,µg/m3,43004005_8_8,2020,2,13,13/02/2020,5,V,4,V,4,V,4,V,10,V,23,V,24,V,31,V,11,V,10,V,9,V,9,V,7,V,5,V,5,V,5,V,7,V,8,V,10,V,14,V,18,V,20,V,16,V,8,V,"(40.552807, 0.53000027)"
08019054_14_20200213,8019054,8,19,54,Barcelona (Parc Vall Hebron),Barcelona,41.42611,2.1480017,136,background,urban,14,O3,µg/m3,08019054_14_6,2020,2,13,13/02/2020,31,V,27,V,29,V,37,V,51,V,54,V,52,V,38,V,26,V,36,V,37,V,42,V,42,V,52,V,66,V,65,V,49,V,35,V,15,V,7,V,24,V,4,V,3,V,6,V,"(41.42611, 2.1480017)"
08089005_8_20200213,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,8,NO2,µg/m3,08089005_8_8,2020,2,13,13/02/2020,8,V,5,V,6,V,9,V,7,V,6,V,10,V,17,V,28,V,23,V,12,V,15,V,16,V,11,V,9,V,12,V,15,V,18,V,18,V,23,V,27,V,30,V,23,V,16,V,"(41.303097, 1.9914981)"
08121013_14_20200213,8121013,8,121,13,Mataró,Mataró,41.547176,2.4432983,40,background,urban,14,O3,µg/m3,08121013_14_6,2020,2,13,13/02/2020,54,V,52,V,52,V,49,V,58,V,56,V,43,V,26,V,25,V,31,V,49,V,44,V,53,V,59,V,73,V,73,V,61,V,36,V,14,V,2,V,11,V,6,V,8,V,20,V,"(41.547176, 2.4432983)"
43148022_8_20200213,43148022,43,148,22,Tarragona (Universitat Laboral),Tarragona,41.103706,1.2007992,5,industrial,suburban,8,NO2,µg/m3,43148022_8_8,2020,2,13,13/02/2020,18,V,11,V,10,V,11,V,12,V,15,V,21,V,37,V,38,V,32,V,10,V,4,V,6,V,6,V,6,V,7,V,6,V,11,V,11,V,17,V,19,V,29,V,19,V,10,V,"(41.103706, 1.2007992)"
08263001_10_20200213,8263001,8,263,1,Sant Vicenç dels Horts (Ribot),Sant Vicenç dels Horts,41.39219,2.0097985,38,background,suburban,10,PM10,µg/m3,08263001_10_47,2020,2,13,13/02/2020,19,V,20,V,17,V,16,V,24,V,20,V,14,V,26,V,40,V,45,V,37,V,31,V,17,V,17,V,27,V,36,V,38,V,37,V,29,V,36,V,39,V,41,V,33,V,27,V,"(41.39219, 2.0097985)"
