CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08019057_10_20200304,8019057,8,19,,,Barcelona,41.38749,2.1151996,81,,,10,PM10,µg/m3,08019057_10_47,2020,3,4,04/03/2020,7,V,4,V,5,V,4,V,5,V,7,V,9,V,10,V,22,V,29,V,14,V,13,V,28,V,24,V,13,V,23,V,39,V,32,V,30,V,24,V,28,V,26,V,27,V,19,V,
08019057_10_20200319,8019057,8,19,57,Barcelona (Palau Reial),Barcelona,41.38749,2.1151996,81,background,urban,10,PM10,µg/m3,08019057_10_47,2020,3,19,19/03/2020,20,V,20,V,15,V,10,V,10,V,16,V,17,V,27,V,34,V,32,V,29,V,22,V,15,V,14,V,12,V,14,V,12,V,12,V,15,V,15,V,13,V,14,V,16,V,18,V,
08019058_10_20200310,8019058,8,19,58,Barcelona (Observatori Fabra),Barcelona,41.41843,2.1238973,415,background,suburban,10,PM10,µg/m3,08019058_10_47,2020,3,10,10/03/2020,18,V,17,V,20,V,10,V,4,V,5,V,6,V,9,V,10,V,13,V,15,V,,N,,N,20,V,20,V,26,V,24,V,21,V,24,V,21,V,19,V,21,V,21,V,20,V,
08019058_10_20200304,8019058,8,19,,,Barcelona,41.41843,2.1238973,415,,,10,PM10,µg/m3,08019058_10_47,2020,3,4,04/03/2020,5,V,4,V,5,V,5,V,7,V,9,V,9,V,10,V,10,V,10,V,11,V,16,V,19,V,24,V,17,V,23,V,25,V,25,V,25,V,24,V,19,V,21,V,20,V,18,V,
08019058_10_20200301,8019058,8,19,58,Barcelona (Observatori Fabra),Barcelona,41.41843,2.1238973,415,background,suburban,10,PM10,µg/m3,08019058_10_47,2020,3,1,01/03/2020,63,V,53,V,65,V,44,V,34,V,29,V,18,V,12,V,13,V,20,V,17,V,24,V,19,V,16,V,12,V,13,V,14,V,15,V,15,V,15,V,13,V,9,V,8,V,5,V,"(41.41843, 2.1238973)"
08019058_10_20200322,8019058,8,19,58,Barcelona (Observatori Fabra),Barcelona,41.41843,2.1238973,415,background,suburban,10,PM10,µg/m3,08019058_10_47,2020,3,22,22/03/2020,23,V,23,V,23,V,22,V,22,V,23,V,20,V,14,V,23,V,25,V,26,V,23,V,22,V,24,V,20,V,25,V,23,V,23,V,20,V,19,V,17,V,19,V,16,V,15,V,
08019058_10_20200329,8019058,8,19,58,Barcelona (Observatori Fabra),Barcelona,41.41843,2.1238973,415,background,suburban,10,PM10,µg/m3,08019058_10_47,2020,3,29,29/03/2020,13,V,,N,13,V,12,V,11,V,11,V,10,V,10,V,13,V,11,V,11,V,12,V,9,V,12,V,15,V,13,V,13,V,17,V,16,V,13,V,14,V,15,V,17,V,15,V,
08019058_10_20200303,8019058,8,19,,,Barcelona,41.41843,2.1238973,415,,,10,PM10,µg/m3,08019058_10_47,2020,3,3,03/03/2020,5,V,5,V,4,V,4,V,4,V,7,V,5,V,5,V,7,V,7,V,7,V,11,V,6,V,5,V,5,V,7,V,9,V,13,V,11,V,14,V,14,V,14,V,10,V,8,V,
08019058_10_20200327,8019058,8,19,58,Barcelona (Observatori Fabra),Barcelona,41.41843,2.1238973,415,background,suburban,10,PM10,µg/m3,08019058_10_47,2020,3,27,27/03/2020,14,V,13,V,13,V,12,V,12,V,9,V,8,V,8,V,9,V,9,V,13,V,11,V,9,V,11,V,10,V,13,V,13,V,13,V,14,V,13,V,15,V,10,V,12,V,13,V,
08019058_10_20200312,8019058,8,19,58,Barcelona (Observatori Fabra),Barcelona,41.41843,2.1238973,415,background,suburban,10,PM10,µg/m3,08019058_10_47,2020,3,12,12/03/2020,10,V,10,V,13,V,12,V,12,V,15,V,11,V,18,V,16,V,29,V,62,V,55,V,28,V,20,V,28,V,25,V,13,V,7,V,16,V,30,V,19,V,12,V,8,V,14,V,
