CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08019044_14_20200318,8019044,8,19,44,Barcelona (Gràcia - Sant Gervasi),Barcelona,41.398724,2.1533988,57,traffic,urban,14,O3,µg/m3,08019044_14_6,2020,3,18,18/03/2020,36,V,26,V,24,V,35,V,36,V,37,V,28,V,4,V,11,V,33,V,41,V,49,V,60,V,78,V,85,V,90,V,90,V,83,V,76,V,67,V,55,V,30,V,13,V,17,V,
08019044_14_20200325,8019044,8,19,44,Barcelona (Gràcia - Sant Gervasi),Barcelona,41.398724,2.1533988,57,traffic,urban,14,O3,µg/m3,08019044_14_6,2020,3,25,25/03/2020,75,V,79,V,79,V,78,V,77,V,76,V,61,V,58,V,53,V,46,V,63,V,73,V,81,V,82,V,83,V,80,V,73,V,62,V,56,V,60,V,56,V,53,V,44,V,51,V,
08019044_14_20200303,8019044,8,19,,,Barcelona,41.398724,2.1533988,57,,,14,O3,µg/m3,08019044_14_6,2020,3,3,03/03/2020,68,V,71,V,71,V,73,V,71,V,68,V,65,V,53,V,45,V,35,V,31,V,45,V,48,V,57,V,60,V,54,V,52,V,49,V,55,V,51,V,53,V,56,V,67,V,70,V,
08019044_14_20200317,8019044,8,19,44,Barcelona (Gràcia - Sant Gervasi),Barcelona,41.398724,2.1533988,57,traffic,urban,14,O3,µg/m3,08019044_14_6,2020,3,17,17/03/2020,83,V,84,V,83,V,81,V,79,V,85,V,81,V,73,V,59,V,61,V,67,V,66,V,68,V,74,V,71,V,66,V,69,V,65,V,59,V,55,V,51,V,34,V,46,V,56,V,
08019044_14_20200326,8019044,8,19,44,Barcelona (Gràcia - Sant Gervasi),Barcelona,41.398724,2.1533988,57,traffic,urban,14,O3,µg/m3,08019044_14_6,2020,3,26,26/03/2020,55,V,62,V,63,V,58,V,60,V,47,V,37,V,33,V,39,V,42,V,55,V,72,V,77,V,81,V,84,V,83,V,83,V,81,V,75,V,74,V,74,V,68,V,58,V,58,V,
08019044_14_20200302,8019044,8,19,44,Barcelona (Gràcia - Sant Gervasi),Barcelona,41.398724,2.1533988,57,traffic,urban,14,O3,µg/m3,08019044_14_6,2020,3,2,02/03/2020,24,V,41,V,51,V,62,V,65,V,64,V,61,V,49,V,43,V,53,V,56,V,76,V,79,V,77,V,79,V,78,V,77,V,74,V,69,V,70,V,66,V,69,V,70,V,70,V,"(41.398724, 2.1533988)"
08019044_14_20200301,8019044,8,19,44,Barcelona (Gràcia - Sant Gervasi),Barcelona,41.398724,2.1533988,57,traffic,urban,14,O3,µg/m3,08019044_14_6,2020,3,1,01/03/2020,11,V,55,V,60,V,62,V,55,V,66,V,64,V,52,V,49,V,66,V,69,V,71,V,75,V,76,V,73,V,74,V,73,V,69,V,55,V,34,V,38,V,39,V,36,V,42,V,"(41.398724, 2.1533988)"
08019044_14_20200319,8019044,8,19,44,Barcelona (Gràcia - Sant Gervasi),Barcelona,41.398724,2.1533988,57,traffic,urban,14,O3,µg/m3,08019044_14_6,2020,3,19,19/03/2020,23,V,33,V,12,V,2,V,1,V,2,V,4,V,8,V,17,V,38,V,47,V,69,V,84,V,87,V,92,V,93,V,92,V,89,V,89,V,96,V,99,V,91,V,89,V,72,V,
08019044_14_20200324,8019044,8,19,44,Barcelona (Gràcia - Sant Gervasi),Barcelona,41.398724,2.1533988,57,traffic,urban,14,O3,µg/m3,08019044_14_6,2020,3,24,24/03/2020,82,V,81,V,82,V,83,V,82,V,81,V,77,V,71,V,73,V,81,V,82,V,81,V,84,V,87,V,86,V,85,V,84,V,83,V,84,V,82,V,81,V,80,V,77,V,74,V,
08019044_14_20200331,8019044,8,19,44,Barcelona (Gràcia - Sant Gervasi),Barcelona,41.398724,2.1533988,57,traffic,urban,14,O3,µg/m3,08019044_14_6,2020,3,31,31/03/2020,26,V,33,V,39,V,40,V,56,V,62,V,56,V,34,V,43,V,46,V,46,V,56,V,67,V,67,V,56,V,53,V,57,V,63,V,69,V,69,V,75,V,80,V,82,V,82,V,
